State,ACCEPTING,ACCEPTING CLASS#,ERROR DESCRIPTION
Q1,0,-1,NA
Q2,0,-1,NA
Q3,1,0,NA
Q4,1,2,NA
Q5,1,2,NA
Q6,1,1,NA
Q7,0,-1,NA
Q8,1,1,NA
Q9,0,-1,NA
Q10,0,-1,NA
Q11,1,1,NA
Q12,1,2,NA
Q13,1,2,NA
Q14,1,2,NA
Q15,1,2,NA
Q16,0,-1,NA
Q17,0,-1,NA
Q18,0,-1,NA
Q19,1,3,NA
Q20,1,2,NA
Q21(NM),1,-1,NA
Q22,-1,-1,Illegal Identifier. Identifier must contain a '_'
Q23,-1,-1,Illegal Number. There must be a digit after '.'
Q24,-1,-1,Illegal Number. There must be a sign or a digit after E
Q25,-1,-1,Illegal Number. There must be a digit after 'E+' or 'E-'
Q26,-1,-1,Illegal Operator
Q27,-1,-1,Illegal Operator
Q28,-1,-1,Illegal Operator
Q29,-1,-1,Unidentified Token
