State/Input,L,D,_,+,-,.,E,=,<,>,!,:,/,*,%,&,|,[,],{,},(,),;,OTHERS
Q1,2,6,3,4,5,7,2,13,14,15,16,16,19,19,19,17,18,19,19,19,19,19,19,19,29
Q2,2,2,3,22,22,22,2,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Q3,3,3,3,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q4,21,6,21,12,21,21,21,13,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,29
Q5,21,6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q6,21,6,21,21,21,7,9,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q7,23,8,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Q8,21,8,21,21,21,21,9,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q9,24,11,24,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Q10,25,11,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Q11,21,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Q13,21,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q14,21,21,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q15,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q16,26,26,26,26,26,26,26,20,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29
Q17,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,27,27,27,27,27,27,27,27,26
Q18,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,20,28,28,28,28,28,28,28,27
Q19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,28
Q20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,29
Q21(NM),,,,,,,,,,,,,,,,,,,,,,,,,
Q22,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,,,,,,,,,,,,,,,,,,,,,,,,,
Q24,,,,,,,,,,,,,,,,,,,,,,,,,
Q25,,,,,,,,,,,,,,,,,,,,,,,,,
Q26,,,,,,,,,,,,,,,,,,,,,,,,,
Q27,,,,,,,,,,,,,,,,,,,,,,,,,
Q28,,,,,,,,,,,,,,,,,,,,,,,,,
Q28,,,,,,,,,,,,,,,,,,,,,,,,,
